# x, y, z, u, v, w
1.472621556370215412e+00,1.079922474671491273e+00,9.817477042468103487e-02,-9.916653854962895753e-01,-6.149326409511972624e-01,-3.792955746782505910e-02
1.668971097219577704e+00,1.079922474671491273e+00,9.817477042468103487e-02,-1.153912309251896584e+00,2.935122300692545871e-01,8.163212250720788821e-02
1.865320638068939552e+00,1.079922474671491273e+00,9.817477042468103487e-02,-9.581640539418502245e-01,8.027172701810846300e-01,1.876699341838824198e-01
2.061670178918301843e+00,1.079922474671491273e+00,9.817477042468103487e-02,-2.692206992747467331e-01,6.311206409398764094e-01,2.013736828380782162e-01
2.258019719767663691e+00,1.079922474671491273e+00,9.817477042468103487e-02,6.549880921794233313e-01,-2.315892438849805404e-02,3.472459275778140286e-01
2.454369260617025983e+00,1.079922474671491273e+00,9.817477042468103487e-02,1.327912035360151011e+00,-7.078726583404523209e-01,6.519291607964453616e-01
2.650718801466387831e+00,1.079922474671491273e+00,9.817477042468103487e-02,1.443960653248720138e+00,-1.048826046415936908e+00,8.328011711598634070e-01
2.847068342315750122e+00,1.079922474671491273e+00,9.817477042468103487e-02,1.085176979339021575e+00,-8.592167915111216248e-01,6.622638671330325355e-01
3.043417883165111970e+00,1.079922474671491273e+00,9.817477042468103487e-02,5.494020380103411538e-01,-2.629898033064590468e-01,2.958573580339714515e-01
3.239767424014474262e+00,1.079922474671491273e+00,9.817477042468103487e-02,7.278019662216742014e-02,2.670057192454181050e-01,3.499917058084776184e-02
3.436116964863836110e+00,1.079922474671491273e+00,9.817477042468103487e-02,-2.468025375946014954e-01,3.693995729673800188e-01,-3.686568682666201829e-02
3.632466505713198401e+00,1.079922474671491273e+00,9.817477042468103487e-02,-3.688805492910934847e-01,2.134561856763267651e-01,9.611955429652800642e-02
3.828816046562560249e+00,1.079922474671491273e+00,9.817477042468103487e-02,-2.733825414267302412e-01,1.378176953515579395e-01,4.775601984312644044e-01
4.025165587411922985e+00,1.079922474671491273e+00,9.817477042468103487e-02,-6.345471403074704787e-03,1.771548557292608184e-01,9.303483446431530801e-01
4.221515128261284389e+00,1.079922474671491273e+00,9.817477042468103487e-02,2.973681235529478384e-01,2.030841130960879815e-01,1.131913322650536680e+00
4.417864669110645792e+00,1.079922474671491273e+00,9.817477042468103487e-02,4.926800230659361679e-01,1.883181119346084564e-01,9.463477110380400514e-01
